movie_title,rating,genre,in_theaters_date,on_streaming_date,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count,on_streaming_year,in_theaters_year
NASCAR: The IMAX Experience,PG,Documentary,2004-12-03,2005-03-15,47.0,Fresh,61.0,44.0,88.0,1237.0,2005,2004.0
NASCAR: The IMAX Experience,PG,Drama,2004-12-03,2005-03-15,47.0,Fresh,61.0,44.0,88.0,1237.0,2005,2004.0
NASCAR: The IMAX Experience,PG,Special Interest,2004-12-03,2005-03-15,47.0,Fresh,61.0,44.0,88.0,1237.0,2005,2004.0
NASCAR: The IMAX Experience,PG,Sports & Fitness,2004-12-03,2005-03-15,47.0,Fresh,61.0,44.0,88.0,1237.0,2005,2004.0
Nashville,R,Classics,1975-11-06,2000-08-15,157.0,Certified Fresh,93.0,56.0,84.0,10055.0,2000,1975.0
Nashville,R,Drama,1975-11-06,2000-08-15,157.0,Certified Fresh,93.0,56.0,84.0,10055.0,2000,1975.0
Nashville,R,Musical & Performing Arts,1975-11-06,2000-08-15,157.0,Certified Fresh,93.0,56.0,84.0,10055.0,2000,1975.0
Nasty Baby,R,Drama,2015-10-23,2015-12-22,100.0,Fresh,68.0,56.0,39.0,992.0,2015,2015.0
Das Schreckliche Mädchen (The Nasty Girl),PG-13,Art House & International,1990-02-15,1991-11-20,93.0,Fresh,67.0,6.0,74.0,1226.0,1991,1990.0
Das Schreckliche Mädchen (The Nasty Girl),PG-13,Comedy,1990-02-15,1991-11-20,93.0,Fresh,67.0,6.0,74.0,1226.0,1991,1990.0
Das Schreckliche Mädchen (The Nasty Girl),PG-13,Drama,1990-02-15,1991-11-20,93.0,Fresh,67.0,6.0,74.0,1226.0,1991,1990.0
Nate and Hayes,PG,Action & Adventure,1983-11-18,2006-06-20,99.0,Rotten,0.0,5.0,59.0,554.0,2006,1983.0
Nate & Margaret,NR,Comedy,2012-06-22,2012-08-28,78.0,Fresh,78.0,9.0,51.0,1359.0,2012,2012.0
Nate & Margaret,NR,Drama,2012-06-22,2012-08-28,78.0,Fresh,78.0,9.0,51.0,1359.0,2012,2012.0
National Lampoon Presents The Beach Party at the Threshold of Hell,R,Comedy,2006-06-23,2008-07-15,89.0,Fresh,60.0,5.0,45.0,541.0,2008,2006.0
