movie_title,rating,genre,in_theaters_date,on_streaming_date,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count,on_streaming_year,in_theaters_year
Night of the Living Dead,R,Mystery & Suspense,1990-10-19,2000-06-09,92.0,Fresh,68.0,31.0,68.0,64152.0,2000,1990.0
Night of the Living Deb,NR,Comedy,2014-10-31,2016-06-09,84.0,Fresh,88.0,8.0,29.0,215.0,2016,2014.0
Die Nacht der lebenden Loser (Night of the Living Dorks),NR,Art House & International,2005-03-06,2007-02-20,89.0,Rotten,33.0,6.0,65.0,1995.0,2007,2005.0
Die Nacht der lebenden Loser (Night of the Living Dorks),NR,Comedy,2005-03-06,2007-02-20,89.0,Rotten,33.0,6.0,65.0,1995.0,2007,2005.0
Die Nacht der lebenden Loser (Night of the Living Dorks),NR,Horror,2005-03-06,2007-02-20,89.0,Rotten,33.0,6.0,65.0,1995.0,2007,2005.0
La Notte di San Lorenzo (Night of the Shooting Stars) (The Night of San Lorenzo),R,Art House & International,1982-09-16,2008-01-04,100.0,Fresh,77.0,13.0,75.0,844.0,2008,1982.0
La Notte di San Lorenzo (Night of the Shooting Stars) (The Night of San Lorenzo),R,Drama,1982-09-16,2008-01-04,100.0,Fresh,77.0,13.0,75.0,844.0,2008,1982.0
La Notte di San Lorenzo (Night of the Shooting Stars) (The Night of San Lorenzo),R,Science Fiction & Fantasy,1982-09-16,2008-01-04,100.0,Fresh,77.0,13.0,75.0,844.0,2008,1982.0
Night on Earth,R,Art House & International,1991-12-12,2007-04-09,125.0,Fresh,75.0,24.0,91.0,20538.0,2007,1991.0
Night on Earth,R,Comedy,1991-12-12,2007-04-09,125.0,Fresh,75.0,24.0,91.0,20538.0,2007,1991.0
Night on Earth,R,Drama,1991-12-12,2007-04-09,125.0,Fresh,75.0,24.0,91.0,20538.0,2007,1991.0
Il portiere di notte (The Night Porter),R,Art House & International,1974-01-10,2000-11-01,115.0,Fresh,65.0,23.0,69.0,5351.0,2000,1974.0
Il portiere di notte (The Night Porter),R,Cult Movies,1974-01-10,2000-11-01,115.0,Fresh,65.0,23.0,69.0,5351.0,2000,1974.0
Il portiere di notte (The Night Porter),R,Drama,1974-01-10,2000-11-01,115.0,Fresh,65.0,23.0,69.0,5351.0,2000,1974.0
Night School,PG-13,Comedy,2018-09-28,2019-01-01,111.0,Rotten,27.0,135.0,37.0,2249.0,2019,2018.0
Night Shift,R,Comedy,1982-07-30,2001-05-06,107.0,Fresh,92.0,24.0,63.0,8880.0,2001,1982.0
Night Shift,R,Documentary,1982-07-30,2001-05-06,107.0,Fresh,92.0,24.0,63.0,8880.0,2001,1982.0
Night Shift,R,Special Interest,1982-07-30,2001-05-06,107.0,Fresh,92.0,24.0,63.0,8880.0,2001,1982.0
Night Tide,NR,Classics,1963-06-06,2000-04-01,84.0,Fresh,100.0,5.0,54.0,752.0,2000,1963.0
Night Tide,NR,Drama,1963-06-06,2000-04-01,84.0,Fresh,100.0,5.0,54.0,752.0,2000,1963.0
Night Tide,NR,Horror,1963-06-06,2000-04-01,84.0,Fresh,100.0,5.0,54.0,752.0,2000,1963.0
Night Tide,NR,Mystery & Suspense,1963-06-06,2000-04-01,84.0,Fresh,100.0,5.0,54.0,752.0,2000,1963.0
Night Train To Lisbon,R,Mystery & Suspense,2013-06-12,2013-12-17,109.0,Rotten,43.0,28.0,60.0,948.0,2013,2013.0
Night Train To Lisbon,R,Romance,2013-06-12,2013-12-17,109.0,Rotten,43.0,28.0,60.0,948.0,2013,2013.0
Night Watch,PG,Drama,,2011-10-25,105.0,Rotten,38.0,8.0,61.0,63.0,2011,
Night Watch,PG,Horror,,2011-10-25,105.0,Rotten,38.0,8.0,61.0,63.0,2011,
Night Watch,PG,Mystery & Suspense,,2011-10-25,105.0,Rotten,38.0,8.0,61.0,63.0,2011,
Night Watch,R,Action & Adventure,2006-02-17,2006-06-20,114.0,Fresh,60.0,132.0,72.0,102347.0,2006,2006.0
Night Watch,R,Art House & International,2006-02-17,2006-06-20,114.0,Fresh,60.0,132.0,72.0,102347.0,2006,2006.0
Night Watch,R,Drama,2006-02-17,2006-06-20,114.0,Fresh,60.0,132.0,72.0,102347.0,2006,2006.0
Night Watch,R,Horror,2006-02-17,2006-06-20,114.0,Fresh,60.0,132.0,72.0,102347.0,2006,2006.0
Night Watch,R,Science Fiction & Fantasy,2006-02-17,2006-06-20,114.0,Fresh,60.0,132.0,72.0,102347.0,2006,2006.0
Night Will Fall,NR,Documentary,,2016-01-19,80.0,Fresh,100.0,23.0,93.0,767.0,2016,
Night Will Fall,NR,Drama,,2016-01-19,80.0,Fresh,100.0,23.0,93.0,767.0,2016,
Night Will Fall,NR,Special Interest,,2016-01-19,80.0,Fresh,100.0,23.0,93.0,767.0,2016,
Nightbreed,R,Action & Adventure,1990-02-16,2004-01-06,102.0,Rotten,40.0,25.0,60.0,14625.0,2004,1990.0
Nightbreed,R,Horror,1990-02-16,2004-01-06,102.0,Rotten,40.0,25.0,60.0,14625.0,2004,1990.0
Nightbreed,R,Science Fiction & Fantasy,1990-02-16,2004-01-06,102.0,Rotten,40.0,25.0,60.0,14625.0,2004,1990.0
The Nightcomers,R,Classics,1972-02-15,2007-06-19,96.0,Rotten,50.0,6.0,42.0,263.0,2007,1972.0
The Nightcomers,R,Drama,1972-02-15,2007-06-19,96.0,Rotten,50.0,6.0,42.0,263.0,2007,1972.0
Nightcrawler,R,Drama,2014-10-31,2015-10-02,117.0,Certified Fresh,95.0,260.0,85.0,85670.0,2015,2014.0
Nightcrawler,R,Mystery & Suspense,2014-10-31,2015-10-02,117.0,Certified Fresh,95.0,260.0,85.0,85670.0,2015,2014.0
Nightingale,PG-13,Drama,,2015-09-15,83.0,Fresh,82.0,22.0,60.0,426.0,2015,
Nightingale,PG-13,Mystery & Suspense,,2015-09-15,83.0,Fresh,82.0,22.0,60.0,426.0,2015,
Nightjohn,PG-13,Drama,1996-01-01,2005-03-05,136.0,Fresh,100.0,9.0,83.0,162.0,2005,1996.0
Nightlight,R,Horror,2015-03-27,2015-05-25,83.0,Rotten,14.0,7.0,11.0,214.0,2015,2015.0
Nightlight,R,Mystery & Suspense,2015-03-27,2015-05-25,83.0,Rotten,14.0,7.0,11.0,214.0,2015,2015.0
The Nightmare Before Christmas,PG,Animation,1993-10-24,1997-02-12,76.0,Certified Fresh,95.0,94.0,91.0,968130.0,1997,1993.0
The Nightmare Before Christmas,PG,Kids & Family,1993-10-24,1997-02-12,76.0,Certified Fresh,95.0,94.0,91.0,968130.0,1997,1993.0
The Nightmare Before Christmas,PG,Science Fiction & Fantasy,1993-10-24,1997-02-12,76.0,Certified Fresh,95.0,94.0,91.0,968130.0,1997,1993.0
Nightmare Cinema,R,Horror,2019-06-21,2019-06-21,119.0,Certified Fresh,77.0,44.0,51.0,118.0,2019,2019.0
Incubo sulla città contaminata (Nightmare City) (Invasion by the Atomic Zombies),R,Art House & International,1980-11-12,2002-06-08,92.0,Rotten,40.0,5.0,40.0,3504.0,2002,1980.0
Incubo sulla città contaminata (Nightmare City) (Invasion by the Atomic Zombies),R,Horror,1980-11-12,2002-06-08,92.0,Rotten,40.0,5.0,40.0,3504.0,2002,1980.0
Nightmare Man,R,Horror,2006-04-08,2008-03-18,89.0,Rotten,56.0,9.0,18.0,2275.0,2008,2006.0
A Nightmare on Elm Street,R,Horror,1984-01-06,2001-08-21,91.0,Certified Fresh,94.0,52.0,83.0,415210.0,2001,1984.0
A Nightmare on Elm Street,R,Mystery & Suspense,1984-01-06,2001-08-21,91.0,Certified Fresh,94.0,52.0,83.0,415210.0,2001,1984.0
A Nightmare on Elm Street,R,Drama,2010-04-30,2010-05-10,96.0,Rotten,15.0,178.0,43.0,199735.0,2010,2010.0
A Nightmare on Elm Street,R,Horror,2010-04-30,2010-05-10,96.0,Rotten,15.0,178.0,43.0,199735.0,2010,2010.0
A Nightmare on Elm Street,R,Mystery & Suspense,2010-04-30,2010-05-10,96.0,Rotten,15.0,178.0,43.0,199735.0,2010,2010.0
A Nightmare on Elm Street,R,Science Fiction & Fantasy,2010-04-30,2010-05-10,96.0,Rotten,15.0,178.0,43.0,199735.0,2010,2010.0
Nightmares,R,Drama,1983-02-09,1999-08-24,91.0,Rotten,29.0,7.0,32.0,1767.0,1999,1983.0
Nightmares,R,Horror,1983-02-09,1999-08-24,91.0,Rotten,29.0,7.0,32.0,1767.0,1999,1983.0
Nightmares,R,Mystery & Suspense,1983-02-09,1999-08-24,91.0,Rotten,29.0,7.0,32.0,1767.0,1999,1983.0
Nightmares,R,Science Fiction & Fantasy,1983-02-09,1999-08-24,91.0,Rotten,29.0,7.0,32.0,1767.0,1999,1983.0
"Nightmares in Red, White and Blue",R,Documentary,2009-06-08,2010-09-28,96.0,Fresh,100.0,6.0,78.0,997.0,2010,2009.0
"Nightmares in Red, White and Blue",R,Television,2009-06-08,2010-09-28,96.0,Fresh,100.0,6.0,78.0,997.0,2010,2009.0
Nights in Rodanthe,PG-13,Drama,2008-09-26,2009-10-02,95.0,Rotten,30.0,132.0,52.0,103661.0,2009,2008.0
Nights in Rodanthe,PG-13,Romance,2008-09-26,2009-10-02,95.0,Rotten,30.0,132.0,52.0,103661.0,2009,2008.0
Nights of Cabiria (Le Notti di Cabiria),NR,Art House & International,1957-10-28,1999-07-09,117.0,Fresh,97.0,38.0,94.0,9911.0,1999,1957.0
Nights of Cabiria (Le Notti di Cabiria),NR,Drama,1957-10-28,1999-07-09,117.0,Fresh,97.0,38.0,94.0,9911.0,1999,1957.0
Nijinsky,R,Drama,1980-03-20,1994-11-16,125.0,Rotten,43.0,7.0,23.0,80.0,1994,1980.0
Nijinsky,R,Musical & Performing Arts,1980-03-20,1994-11-16,125.0,Rotten,43.0,7.0,23.0,80.0,1994,1980.0
Nim's Island,PG,Action & Adventure,2008-04-04,2008-05-08,94.0,Rotten,51.0,104.0,46.0,181184.0,2008,2008.0
Nim's Island,PG,Kids & Family,2008-04-04,2008-05-08,94.0,Rotten,51.0,104.0,46.0,181184.0,2008,2008.0
Nina's Heavenly Delights,PG-13,Drama,2007-11-21,2008-04-22,94.0,Rotten,16.0,19.0,63.0,1114.0,2008,2007.0
Nine,PG-13,Drama,2009-12-25,2010-04-05,113.0,Rotten,39.0,206.0,37.0,109383.0,2010,2009.0
Nine,PG-13,Musical & Performing Arts,2009-12-25,2010-04-05,113.0,Rotten,39.0,206.0,37.0,109383.0,2010,2009.0
Nine,PG-13,Romance,2009-12-25,2010-04-05,113.0,Rotten,39.0,206.0,37.0,109383.0,2010,2009.0
Nine Lives,PG,Comedy,2016-05-08,2016-01-11,87.0,Rotten,14.0,72.0,41.0,10116.0,2016,2016.0
The Nine Lives of Fritz the Cat,R,Animation,1974-06-26,2001-11-12,76.0,Rotten,43.0,7.0,41.0,3925.0,2001,1974.0
The Nine Lives of Fritz the Cat,R,Comedy,1974-06-26,2001-11-12,76.0,Rotten,43.0,7.0,41.0,3925.0,2001,1974.0
Nine Months,PG-13,Comedy,1995-07-14,2001-04-17,102.0,Rotten,26.0,27.0,37.0,60567.0,2001,1995.0
Ninotchka,R,Classics,1939-03-11,2005-05-09,110.0,Fresh,97.0,34.0,89.0,6809.0,2005,1939.0
Ninotchka,R,Comedy,1939-03-11,2005-05-09,110.0,Fresh,97.0,34.0,89.0,6809.0,2005,1939.0
Ninotchka,R,Drama,1939-03-11,2005-05-09,110.0,Fresh,97.0,34.0,89.0,6809.0,2005,1939.0
Ninotchka,R,Romance,1939-03-11,2005-05-09,110.0,Fresh,97.0,34.0,89.0,6809.0,2005,1939.0
"The Ninth Configuration (Twinkle, Twinkle, Killer Kane)",R,Comedy,1980-02-29,2002-09-17,115.0,Fresh,75.0,12.0,77.0,2586.0,2002,1980.0
"The Ninth Configuration (Twinkle, Twinkle, Killer Kane)",R,Drama,1980-02-29,2002-09-17,115.0,Fresh,75.0,12.0,77.0,2586.0,2002,1980.0
"The Ninth Configuration (Twinkle, Twinkle, Killer Kane)",R,Mystery & Suspense,1980-02-29,2002-09-17,115.0,Fresh,75.0,12.0,77.0,2586.0,2002,1980.0
The Ninth Gate,R,Drama,1999-12-24,2000-07-18,133.0,Rotten,43.0,90.0,57.0,121489.0,2000,1999.0
The Ninth Gate,R,Mystery & Suspense,1999-12-24,2000-07-18,133.0,Rotten,43.0,90.0,57.0,121489.0,2000,1999.0
Nitro Circus: The Movie 3D,PG-13,Action & Adventure,2012-08-08,2012-11-13,88.0,Rotten,6.0,18.0,62.0,8925.0,2012,2012.0
Nitro Circus: The Movie 3D,PG-13,Comedy,2012-08-08,2012-11-13,88.0,Rotten,6.0,18.0,62.0,8925.0,2012,2012.0
Nitro Circus: The Movie 3D,PG-13,Documentary,2012-08-08,2012-11-13,88.0,Rotten,6.0,18.0,62.0,8925.0,2012,2012.0
Nitro Circus: The Movie 3D,PG-13,Sports & Fitness,2012-08-08,2012-11-13,88.0,Rotten,6.0,18.0,62.0,8925.0,2012,2012.0
Nixon,R,Documentary,1995-12-22,1999-06-15,190.0,Certified Fresh,74.0,62.0,74.0,12613.0,1999,1995.0
Nixon,R,Drama,1995-12-22,1999-06-15,190.0,Certified Fresh,74.0,62.0,74.0,12613.0,1999,1995.0
No,R,Art House & International,2013-02-15,2013-06-25,117.0,Certified Fresh,94.0,130.0,80.0,12738.0,2013,2013.0
No,R,Drama,2013-02-15,2013-06-25,117.0,Certified Fresh,94.0,130.0,80.0,12738.0,2013,2013.0
No Clue,NR,Comedy,,2014-06-16,96.0,Rotten,40.0,5.0,49.0,98.0,2014,
