movie_title,rating,genre,in_theaters_date,on_streaming_date,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
The November Man,R,"Action , Adventure, Mystery , Suspense",08-27-14,11-25-14,108,Rotten,34,128,46,20028
The Number 23,R,"Mystery , Suspense",02-23-07,05-07-05,98,Rotten,8,189,56,485007
The Numbers Station,R,"Mystery , Suspense",04-26-13,05-28-13,89,Rotten,30,27,31,7905
The Nun,R,Horror,07-09-18,04-12-18,96,Rotten,26,191,35,6666
The Nun's Story,NR,"Classics, Drama",07-18-59,04-04-06,149,Fresh,94,16,82,5546
The Nut Job,PG,"Animation, Comedy",01-17-14,04-15-14,86,Rotten,12,93,43,38837
The Nut Job 2: Nutty by Nature,PG,"Animation, Comedy, Kids , Family",11-08-17,11-14-17,86,Rotten,15,62,44,7248
The Nutcracker and the Four Realms,PG,"Action , Adventure, Kids , Family, Science Fiction , Fantasy",02-11-18,01-29-19,99,Rotten,33,199,33,2154
The Oath,R,Comedy,12-10-18,08-01-19,93,Fresh,63,86,37,383
The Odd Life of Timothy Green,PG,"Comedy, Science Fiction , Fantasy",08-15-12,04-12-12,100,Rotten,35,129,67,205051
The Odyssey (L'odyssée),PG,"Action , Adventure, Drama",,01-30-18,122,Fresh,63,19,52,147
The Old Man & the Gun,PG-13,Drama,10-19-18,01-15-19,93,Certified Fresh,93,261,61,2838
The One,PG-13,"Action , Adventure, Science Fiction , Fantasy",02-11-01,05-03-02,87,Rotten,14,86,51,100714
The One I Love,R,"Comedy, Drama",08-22-14,03-11-14,91,Certified Fresh,82,93,76,10067
The Ones Below,R,"Art House , International, Mystery , Suspense",05-27-16,06-09-16,86,Certified Fresh,75,48,47,4225
The Only Real Game,NR,"Documentary, Drama, Special Interest",06-06-14,09-22-15,82,Fresh,100,7,65,168
The Oogieloves in The Big Balloon Adventure,G,"Kids , Family, Musical , Performing Arts",08-29-12,04-02-13,86,Rotten,27,22,63,4899
The Open House,NR,"Horror, Mystery , Suspense",01-19-18,01-19-18,94,Rotten,23,13,8,1904
The Optimists,PG,"Comedy, Drama, Musical , Performing Arts",10-18-73,02-06-08,110,Fresh,86,7,71,224
The Oranges,R,"Comedy, Drama, Romance",05-10-12,07-05-13,92,Rotten,31,77,32,7154
The Order,R,"Mystery , Suspense",05-09-03,12-30-03,102,Rotten,8,60,38,22577
