movie_title,rating,genre,in_theaters_date,on_streaming_date,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
Percy Jackson & the Olympians: The Lightning Thief,PG,"Action , Adventure, Comedy, Drama, Science Fiction , Fantasy",12-02-10,06-29-10,83,Rotten,49,144,53,254287
Please Give,R,Comedy,04-30-10,10-19-10,90,Certified Fresh,86,140,64,11567
10,R,"Comedy, Romance",05-10-79,08-27-97,118,Fresh,68,22,53,14670
12 Angry Men (Twelve Angry Men),NR,"Classics, Drama",04-13-57,06-03-01,95,Certified Fresh,100,51,97,105000
"20,000 Leagues Under The Sea",G,"Action , Adventure, Drama, Kids , Family",01-01-54,05-20-03,127,Fresh,89,27,74,68860
"10,000 B.C.",PG-13,"Action , Adventure, Classics, Drama",07-03-08,06-24-08,109,Rotten,8,148,37,411087
The 39 Steps,NR,"Action , Adventure, Classics, Mystery , Suspense",01-08-35,06-06-35,87,Certified Fresh,96,47,86,23827
3:10 to Yuma,NR,"Classics, Drama, Western",07-08-57,02-04-02,92,Fresh,96,27,78,9224
Charly (A Heartbeat Away),PG,"Comedy, Drama, Romance",09-27-02,01-08-03,103,Rotten,20,10,87,4819
Abraham Lincoln,NR,"Classics, Drama",08-11-30,11-18-08,97,Fresh,90,10,38,455
Dark Water,PG-13,"Art House , International, Horror, Mystery , Suspense",01-19-02,06-21-05,100,Fresh,80,15,66,21459
The Accused,R,"Drama, Mystery , Suspense",10-14-88,04-16-02,110,Fresh,91,22,79,20796
The Lost City,R,Drama,03-09-05,08-08-06,143,Rotten,25,83,64,25940
The Breaking Point,NR,Drama,06-10-50,08-08-17,97,Fresh,100,7,84,328
Adam's Rib,NR,"Classics, Comedy, Romance",11-18-49,09-19-00,100,Fresh,100,27,86,10545
The Bridge of San Luis Rey,PG,"Art House , International, Drama, Faith , Spirituality",10-06-05,11-10-05,120,Rotten,4,24,35,1931
The Prowler (Cost of Living ),PG,"Drama, Mystery , Suspense",03-12-51,01-02-11,92,Fresh,100,17,86,284
Criminal,R,"Drama, Mystery , Suspense",09-24-04,12-04-05,88,Fresh,69,124,57,6702
The Adventures of Mark Twain,G,"Action , Adventure, Animation, Kids , Family",01-03-85,01-31-06,86,Fresh,80,5,82,1042
Deep Blue,G,"Documentary, Special Interest",06-17-05,11-04-06,90,Fresh,67,52,80,4690
The Adventures of Robin Hood,PG,"Action , Adventure, Classics, Romance",05-14-38,09-30-03,102,Certified Fresh,100,46,89,33890
Man Hunt,NR,"Classics, Drama, Mystery , Suspense",01-01-41,05-19-09,105,Fresh,92,12,75,552
Dead End,R,"Comedy, Horror, Mystery , Suspense",09-26-03,11-19-04,85,Fresh,75,8,60,10351
Bandwagon,R,Comedy,12-09-97,02-16-99,103,Fresh,80,5,91,386
Whore,R,"Art House , International, Drama",04-16-04,08-02-05,87,Rotten,0,6,63,914
Tristan & Isolde,PG-13,"Drama, Science Fiction , Fantasy, Romance",01-13-06,04-25-06,99,Rotten,31,121,71,220945
Wild Side,NR,"Art House , International, Drama",10-06-05,10-25-05,94,Fresh,63,16,80,867
Running Scared,R,"Action , Adventure, Drama, Mystery , Suspense",02-24-06,06-06-06,119,Rotten,41,130,79,135373
Going the Distance,R,Comedy,08-20-04,05-07-05,93,Rotten,0,5,61,13032
Ultraviolet,PG-13,"Action , Adventure, Drama, Horror, Science Fiction , Fantasy",03-03-06,06-27-06,88,Rotten,8,83,30,279966
Home of the Brave,R,"Action , Adventure, Documentary, Drama, Special Interest",11-05-04,10-23-07,74,Fresh,93,15,48,866
Arthur and the Invisibles (Arthur and the Minimoys),PG,"Animation, Kids , Family, Science Fiction , Fantasy",12-01-07,05-15-07,94,Rotten,22,91,56,134466
Malevolence,R,Horror,10-09-04,04-19-05,85,Rotten,33,18,83,2619
Eternal,R,"Horror, Mystery , Suspense",08-26-04,10-18-05,107,Rotten,21,34,40,1294
A Farewell To Arms,NR,"Classics, Drama, Romance",12-14-57,03-29-05,152,Rotten,0,11,36,1458
The Narrow Margin,NR,"Classics, Drama, Mystery , Suspense",04-05-52,05-07-05,71,Fresh,100,10,88,1129
The Matador,R,"Action , Adventure, Comedy, Drama, Mystery , Suspense",01-27-06,04-07-06,97,Certified Fresh,75,154,65,73691
Smile,PG-13,"Art House , International, Comedy, Drama",08-04-05,06-09-05,107,Rotten,15,13,66,2059
The Intruder (L'Intrus),G,"Art House , International, Drama",12-23-05,04-25-06,129,Fresh,86,29,73,9701
Saint Ralph,PG-13,"Comedy, Drama",05-08-05,12-13-05,98,Fresh,64,69,85,6202
The Baxter,PG-13,"Comedy, Romance",08-26-05,12-13-05,91,Rotten,32,75,75,7434
Oliver Twist,PG-13,"Drama, Kids , Family",09-30-05,01-24-06,130,Fresh,60,141,63,23278
The Alamo,NR,"Action , Adventure, Classics, Drama, Western",10-24-60,05-12-00,161,Rotten,50,20,63,7323
G,R,"Drama, Romance",09-16-05,03-28-06,96,Rotten,24,29,60,1140
Alexander the Great,G,Classics,03-28-56,10-19-04,135,Rotten,0,8,42,5382
Alfie,PG,"Classics, Comedy, Drama, Romance",08-24-66,02-27-01,113,Fresh,96,26,77,14657
Neverwas,PG-13,"Drama, Mystery , Suspense",09-09-05,03-07-07,102,Rotten,14,7,65,4058
The Second Chance,PG-13,"Drama, Faith , Spirituality",02-17-06,07-18-06,102,Rotten,40,15,78,79542
Moonlight,R,"Drama, Mystery , Suspense",10-17-03,03-04-07,91,Fresh,60,10,67,1430
Aliens,R,"Action , Adventure, Horror, Science Fiction , Fantasy",07-18-86,01-06-99,138,Certified Fresh,99,72,94,429158
Rise: Blood Hunter,R,"Horror, Mystery , Suspense",01-06-07,09-10-07,98,Rotten,36,14,20,8237
All About Eve,PG,"Classics, Drama",01-01-50,05-10-99,138,Certified Fresh,100,67,94,45151
When Do We Eat?,R,Comedy,07-04-06,08-22-06,86,Rotten,42,38,68,1121
The Mostly Unfabulous Social Life of Ethan Green,R,"Comedy, Drama",06-16-06,10-10-06,88,Rotten,27,26,58,2392
Dirty,R,Drama,02-24-06,04-04-06,97,Rotten,21,28,42,7321
Stay Alive,PG-13,"Horror, Mystery , Suspense",03-24-06,09-19-06,86,Rotten,9,58,55,113399
All of Me,PG,"Comedy, Science Fiction , Fantasy",09-21-84,02-02-99,93,Fresh,92,36,67,14328
All Quiet on the Western Front,NR,Drama,,04-23-02,150,Fresh,100,5,70,7571
Dreamland,PG-13,"Art House , International, Drama",01-23-06,12-19-06,88,Fresh,67,15,65,5650
Independent Lens,NR,"Documentary, Special Interest",06-10-06,04-27-10,77,Certified Fresh,84,50,84,1854
All the King's Men,PG,"Classics, Drama",08-11-49,05-06-01,109,Fresh,97,35,78,4844
Street Fight,NR,"Documentary, Special Interest",01-01-05,09-01-07,86,Fresh,100,22,93,2988
The Motel,NR,"Comedy, Drama",06-28-05,01-30-07,76,Fresh,87,31,64,4038
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,PG-13,"Documentary, Sports , Fitness",05-18-06,03-10-06,97,Certified Fresh,81,59,80,1416
Requiem,NR,"Art House , International, Drama, Horror, Mystery , Suspense",10-20-06,06-03-07,92,Fresh,86,35,66,4728
Gui si (Silk),PG-13,"Art House , International, Horror, Mystery , Suspense",05-24-06,12-06-07,117,Rotten,40,5,58,2530
Park,R,"Art House , International, Comedy, Drama",12-06-06,05-20-08,97,Rotten,36,11,48,684
The 4th Dimension,NR,"Drama, Science Fiction , Fantasy",01-04-06,08-04-08,82,Fresh,63,8,31,394
"Bon Cop, Bad Cop",R,"Action , Adventure, Comedy",04-07-06,05-13-08,116,Fresh,78,9,82,20397
Amazing Grace,PG,"Drama, Mystery , Suspense",02-23-07,11-13-07,116,Fresh,68,125,85,54304
The Silence,R,"Action , Adventure, Drama, Mystery , Suspense, Television",,08-25-09,104,Rotten,50,6,38,374
Cocaine Cowboys,R,Documentary,10-27-06,01-23-07,118,Fresh,69,51,79,77109
Gone,R,"Horror, Mystery , Suspense",09-03-07,01-25-05,88,Rotten,54,13,20,3327
The Situation,R,"Drama, Mystery , Suspense",10-18-06,07-31-07,106,Rotten,35,48,58,2381
Four Sheets to the Wind,R,"Art House , International, Drama",01-22-07,06-11-07,81,Fresh,100,7,61,519
The Tiger's Tail,R,"Comedy, Drama, Mystery , Suspense",09-26-06,11-08-09,106,Rotten,14,21,31,658
It's a Boy Girl Thing,PG-13,"Comedy, Romance",12-26-06,06-17-08,95,Fresh,67,9,61,30366
Slipstream,R,"Art House , International, Comedy, Drama, Science Fiction , Fantasy",10-26-07,02-26-08,96,Rotten,25,40,29,3520
Delirious,NR,"Comedy, Drama",08-15-07,06-05-08,107,Certified Fresh,82,60,57,8462
Interview,R,"Art House , International, Drama",07-13-07,11-12-07,84,Rotten,58,125,55,25856
American Anthem,PG-13,"Action , Adventure, Documentary, Drama",01-06-86,06-21-05,110,Rotten,0,16,65,1341
The Ten,R,Comedy,01-18-07,01-15-08,99,Rotten,36,81,40,77947
The Happening,R,"Drama, Mystery , Suspense, Science Fiction , Fantasy",11-06-08,07-10-08,90,Rotten,18,179,24,370131
Molière,PG-13,Comedy,07-27-07,11-20-07,121,Fresh,69,88,79,10937
Straightheads (Closure),R,"Drama, Mystery , Suspense",04-27-07,09-18-07,80,Rotten,40,20,33,4643
Borderland,R,"Drama, Horror, Mystery , Suspense",09-11-07,03-18-08,104,Fresh,100,8,43,4187
Spiral,PG-13,"Drama, Mystery , Suspense",01-27-07,05-24-10,90,Rotten,55,11,59,8997
Alexandra,NR,Drama,05-25-07,04-28-09,94,Certified Fresh,88,59,69,1333
Blood and Tears: The Arab-Israeli Conflict,PG-13,Documentary,06-15-07,08-28-07,73,Rotten,50,6,33,1719
The Cool School,NR,"Documentary, Musical , Performing Arts",07-03-08,07-29-08,86,Fresh,92,26,63,514
Pathology,R,"Drama, Mystery , Suspense",04-18-08,09-23-08,94,Rotten,45,22,39,49436
Disney's A Christmas Carol,PG,"Animation, Drama, Kids , Family, Science Fiction , Fantasy",06-11-09,11-16-10,96,Rotten,53,197,58,776113
Deep Water,PG,"Documentary, Special Interest",03-09-06,12-18-07,93,Certified Fresh,96,55,87,4961
Road to Victory,NR,"Art House , International, Drama, Sports , Fitness",03-18-07,09-22-09,99,Fresh,75,8,78,89
Beverly Hills Chihuahua,PG,Comedy,09-30-08,03-03-09,91,Rotten,40,97,52,186544
Fireflies in the Garden,R,Drama,10-14-11,07-02-12,98,Rotten,22,54,45,45150
The Eye,PG-13,"Drama, Horror, Mystery , Suspense",01-02-08,06-06-08,97,Rotten,22,79,43,303432
Day of the Dead,R,"Horror, Mystery , Suspense",01-04-08,08-04-08,87,Rotten,13,8,22,11084
My Best Friend's Girl,R,"Comedy, Drama",09-18-08,01-13-09,101,Rotten,14,59,46,86580
The Burrowers,R,"Horror, Mystery , Suspense, Western",01-09-08,04-21-09,96,Fresh,73,11,33,10864
The Midnight Meat Train,R,"Drama, Horror, Mystery , Suspense",08-14-08,02-17-09,98,Fresh,72,32,50,143520
The Lucky Ones,R,"Comedy, Drama",09-26-08,01-27-09,112,Rotten,37,75,54,11785
Run Fatboy Run,PG-13,Comedy,07-09-07,09-23-08,102,Rotten,46,153,64,102871
Closing Escrow,PG,Comedy,02-28-07,04-09-07,93,Rotten,54,13,36,1123
Whiteout,R,"Action , Adventure, Drama, Mystery , Suspense",11-09-09,01-19-10,106,Rotten,7,115,21,538847
Randy and the Mob,PG,"Comedy, Documentary",10-13-07,01-09-09,91,Rotten,56,9,38,286
Black Irish,R,Drama,10-26-07,08-01-08,94,Rotten,31,13,58,1685
Wild Child,PG-13,Comedy,08-14-08,11-17-09,98,Rotten,41,27,61,17478
Powder Blue,R,Drama,08-05-09,05-26-09,108,Rotten,25,8,40,7410
King Corn,NR,"Documentary, Musical , Performing Arts, Special Interest",12-10-07,04-29-08,90,Fresh,96,26,78,3199
L' Avocat de la Terreur (Terror's Advocate),R,"Art House , International, Documentary, Special Interest",05-18-07,02-19-08,130,Certified Fresh,87,46,67,1952
Darfur Now,PG,"Documentary, Drama, Musical , Performing Arts, Special Interest",09-11-07,05-27-08,90,Fresh,73,59,73,2308
Laaga Chunari Mein Daag - Journey of a Woman,NR,"Art House , International, Drama",12-10-07,12-18-07,138,Rotten,50,6,58,3784
Rails & Ties,PG-13,Drama,10-26-07,06-17-08,101,Rotten,34,47,58,10100
Mr. Untouchable,R,Documentary,10-26-07,01-29-08,92,Fresh,73,26,54,731
House,R,"Drama, Horror, Mystery , Suspense",07-11-08,07-04-09,98,Rotten,0,13,27,16714
Canvas,PG-13,Drama,12-10-07,01-29-08,100,Fresh,78,27,62,570
Skid Row,R,"Documentary, Special Interest",08-24-07,03-25-08,90,Fresh,83,6,55,389
Saawariya,PG,"Art House , International, Drama, Musical , Performing Arts, Romance",09-11-07,06-05-08,138,Rotten,38,21,46,5825
Aaja Nachle,NR,"Art House , International, Drama, Musical , Performing Arts, Romance",11-30-07,08-01-08,142,Fresh,67,6,72,4354
Flawless,PG-13,"Drama, Mystery , Suspense",03-28-08,03-06-08,105,Rotten,55,95,54,12567
What Happens in Vegas,PG-13,"Comedy, Romance",04-22-08,08-26-08,99,Rotten,26,131,65,501679
Appaloosa,R,"Action , Adventure, Western",03-10-08,01-13-09,115,Certified Fresh,76,163,55,55670
Good,R,Drama,08-09-08,01-05-09,95,Rotten,32,71,32,41566
The Visitor,PG-13,Drama,04-25-08,01-27-09,104,Certified Fresh,89,118,84,127066
Meet Bill,R,Comedy,04-04-08,07-15-08,97,Rotten,21,19,44,8163
Married Life,PG-13,"Comedy, Drama, Mystery , Suspense, Romance",07-03-08,02-09-08,90,Rotten,54,118,36,5080
Badland,R,Drama,11-30-07,02-24-09,165,Rotten,17,18,54,292
The Oxford Murders,R,"Art House , International, Drama, Horror, Mystery , Suspense",06-08-10,05-10-10,110,Rotten,9,11,33,14548
Untraceable,R,"Drama, Horror, Mystery , Suspense",01-25-08,05-13-08,101,Rotten,16,148,52,225115
The Informers,R,"Drama, Mystery , Suspense",04-24-09,08-25-09,98,Rotten,12,105,18,18503
Meeting Resistance,NR,"Documentary, Special Interest",10-19-07,05-20-08,84,Fresh,82,22,47,200
The Freshman,PG,"Comedy, Drama",07-20-90,06-30-98,102,Certified Fresh,93,46,61,11833
Guta-yubalja-deul (A Bloody Aria),NR,"Art House , International, Drama, Mystery , Suspense",05-31-06,02-26-08,115,Rotten,42,24,40,297
The Rocker,PG-13,"Comedy, Drama",12-06-08,01-27-09,102,Rotten,41,123,46,44180
The Perfect Holiday,PG-13,"Kids , Family, Romance",12-12-07,11-11-08,96,Rotten,16,57,52,159641
La Graine et le Mulet (The Secret of the Grain) (Couscous),NR,"Art House , International, Drama",03-09-07,07-27-10,151,Certified Fresh,93,54,76,9062
Land of the Lost,PG-13,"Action , Adventure, Comedy, Science Fiction , Fantasy",05-06-09,10-13-09,102,Rotten,26,189,32,542614
[Rec],R,"Art House , International, Horror, Special Interest",11-23-07,07-14-09,78,Fresh,89,35,82,50336
Look,R,"Comedy, Drama",12-14-07,05-05-09,102,Fresh,60,35,56,709
And God Created Woman,R,"Classics, Comedy, Drama, Romance",01-01-88,08-02-00,100,Rotten,38,8,32,1597
The Box,PG-13,"Horror, Mystery , Suspense, Science Fiction , Fantasy",06-11-09,02-23-10,116,Rotten,44,155,24,359067
Man in the Chair,PG-13,"Comedy, Drama",07-12-07,01-04-08,107,Rotten,49,35,68,931
Undoing,R,"Drama, Mystery , Suspense",06-24-06,11-03-08,90,Rotten,31,13,26,372
Black Water,R,"Horror, Mystery , Suspense",02-19-08,02-19-08,89,Fresh,79,19,39,3937
21,PG-13,"Drama, Mystery , Suspense",03-28-08,07-22-08,122,Rotten,36,169,66,367740
The Duchess of Langeais (Ne Touchez Pas La Hache)(Don't Touch the Axe),NR,"Art House , International, Drama, Romance",02-15-07,12-08-08,137,Fresh,70,66,52,865
Ben X,NR,"Art House , International, Drama, Mystery , Suspense",09-26-07,10-03-09,93,Fresh,68,38,80,6743
Body of Lies,R,"Drama, Mystery , Suspense",08-10-08,02-17-09,128,Rotten,55,211,62,129956
Passengers,PG-13,"Drama, Mystery , Suspense",10-24-08,03-24-09,93,Rotten,19,31,35,29506
The Grand,R,Comedy,11-01-08,10-06-08,104,Rotten,38,42,43,3054
The Hammer,R,Comedy,04-26-07,06-24-08,93,Certified Fresh,80,40,90,4933
Shutter,PG-13,"Horror, Mystery , Suspense",03-19-08,07-15-08,85,Rotten,9,65,33,241165
Priest,PG-13,"Action , Adventure, Horror, Mystery , Suspense, Science Fiction , Fantasy, Western",05-13-11,08-16-11,83,Rotten,15,99,46,86566
The Broken,R,"Horror, Mystery , Suspense",,03-31-09,88,Rotten,49,39,25,2543
The Escapist,R,"Art House , International, Mystery , Suspense",01-21-08,01-26-10,103,Fresh,64,45,64,14810
Sugar,R,"Drama, Sports , Fitness",01-21-08,01-09-09,114,Certified Fresh,92,136,80,12637
Quid Pro Quo,R,"Drama, Mystery , Suspense",01-20-08,08-20-08,81,Fresh,61,36,54,1769
Red,R,"Drama, Mystery , Suspense",08-08-08,10-28-08,95,Fresh,70,27,69,2605
The Guitar,R,Drama,07-11-08,10-02-09,92,Rotten,33,18,55,1056
The Road,R,"Drama, Mystery , Suspense, Science Fiction , Fantasy",11-25-09,05-25-10,111,Certified Fresh,73,213,68,248392
G-Force,PG,"Action , Adventure, Comedy, Kids , Family, Science Fiction , Fantasy",07-24-09,12-15-09,90,Rotten,22,126,39,964628
The Other Man,R,Drama,03-12-08,07-04-09,80,Rotten,15,39,18,4511
The Duchess,PG-13,Drama,05-09-08,01-27-09,110,Fresh,62,169,67,68874
The Women,PG-13,"Comedy, Drama",04-09-08,12-19-08,114,Rotten,13,147,38,62029
Public Enemies,R,"Action , Adventure, Drama",01-07-09,08-12-09,140,Fresh,68,276,59,633635
Night and Day (Bam gua nat),NR,"Art House , International, Drama",10-23-09,09-01-12,145,Fresh,93,14,68,336
Julia,R,"Art House , International, Drama, Mystery , Suspense",08-05-09,08-18-09,95,Certified Fresh,74,57,67,17304
Angel and the Badman,PG,"Classics, Western, Romance",02-15-47,10-14-99,100,Fresh,71,7,67,6977
Fade to Black,R,"Mystery , Suspense",09-10-06,05-10-10,105,Rotten,29,7,31,282
Angel Heart,R,"Drama, Mystery , Suspense",06-03-87,06-23-98,113,Fresh,77,26,81,30038
Old Dogs,PG,"Comedy, Drama, Kids , Family",11-25-09,09-03-10,88,Rotten,5,109,44,182878
Surrogates,PG-13,"Action , Adventure, Comedy, Mystery , Suspense, Science Fiction , Fantasy",09-25-09,01-26-10,89,Rotten,37,115,38,295028
The Promotion,R,Comedy,09-03-08,02-09-08,86,Rotten,53,77,28,84735
Notorious,R,"Drama, Musical , Performing Arts",01-16-09,04-21-09,123,Rotten,51,144,65,97038
Soul Men,R,"Comedy, Musical , Performing Arts",07-11-08,10-02-09,100,Rotten,45,97,58,54252
Igor,PG,"Animation, Comedy, Kids , Family",09-19-08,01-20-09,86,Rotten,38,92,38,82490
The Matador,NR,"Documentary, Special Interest",10-03-08,02-17-09,74,Fresh,73,15,65,205
The Auteur,NR,Comedy,01-01-08,12-22-09,76,Fresh,67,6,41,266
The Caller,PG-13,"Drama, Mystery , Suspense",09-26-08,04-14-09,95,Rotten,13,16,19,334
Sin Nombre,R,"Drama, Mystery , Suspense",03-20-09,01-09-09,96,Certified Fresh,88,119,89,21278
Das Haus der Schlafenden Schönen (House of the Sleeping Beauties),NR,"Art House , International, Drama",11-14-08,04-21-09,99,Rotten,28,18,18,172
The Stone Angel,R,Drama,12-09-07,10-21-08,115,Rotten,44,25,58,3025
Alvin and the Chipmunks: The Squeakquel,PG,"Animation, Comedy, Kids , Family",12-23-09,03-30-10,88,Rotten,20,84,49,368581
Un Conte de Noël (A Christmas Tale),NR,"Art House , International, Comedy, Drama",11-14-08,10-11-09,150,Certified Fresh,86,132,66,23417
The Rebound,R,"Comedy, Romance",06-02-09,07-02-12,95,Rotten,41,27,46,31184
"1,000 Times Good Night",NR,Drama,10-24-14,02-02-15,117,Fresh,71,55,65,1881
Harold,PG-13,Comedy,11-07-08,09-16-08,105,Rotten,31,16,41,792
Push,PG-13,"Mystery , Suspense, Science Fiction , Fantasy",06-02-09,07-07-09,111,Rotten,23,126,42,2026397
Felon,R,"Action , Adventure, Drama, Mystery , Suspense",07-17-08,07-18-08,102,Fresh,61,23,82,13882
Scar,R,"Drama, Horror, Mystery , Suspense",05-20-07,09-26-06,78,Rotten,0,18,11,688
The Unborn,PG-13,"Horror, Mystery , Suspense",09-01-09,07-07-09,88,Rotten,10,118,30,831822
Bitch Slap,R,"Action , Adventure",08-01-10,02-03-10,104,Rotten,29,17,29,10342
Forever Strong,PG-13,Drama,09-26-08,09-06-09,109,Rotten,29,21,75,9882
Chocolate,R,"Action , Adventure, Art House , International",06-02-08,10-02-09,92,Fresh,74,34,73,12239
Fireproof,PG,Drama,09-26-08,01-27-09,118,Rotten,40,20,82,39733
Dostana,R,"Art House , International, Comedy",11-13-08,12-30-08,145,Fresh,87,15,68,4442
The Garden,NR,"Documentary, Special Interest",06-18-08,08-18-09,80,Fresh,79,24,85,457
Splinter,R,"Horror, Mystery , Suspense",10-31-08,01-27-09,82,Fresh,74,35,49,13198
Leaves of Grass,R,"Comedy, Drama, Mystery , Suspense",02-04-10,12-10-10,104,Fresh,61,38,49,15333
Rab Ne Bana Di Jodi (A Couple Made by God) (A Match Made in Heaven),NR,Romance,11-12-08,12-05-09,164,Fresh,78,9,71,4351
The Proposal,PG-13,"Comedy, Romance",06-19-09,10-13-09,107,Rotten,44,187,67,860222
Gigantic,R,"Comedy, Romance",03-04-09,11-08-09,99,Rotten,36,83,34,97061
Fuel,NR,"Documentary, Special Interest",10-17-08,06-22-10,111,Fresh,72,18,82,8322
Hush,NR,"Mystery , Suspense",01-02-09,10-26-10,88,Rotten,50,8,37,1585
Anna Karenina,NR,"Classics, Drama, Romance",01-01-35,06-09-05,94,Fresh,100,12,70,3061
Orphan,R,"Drama, Horror, Mystery , Suspense",07-24-09,10-27-09,123,Rotten,56,153,63,872754
My Sister's Keeper,PG-13,Drama,06-26-09,11-17-09,110,Rotten,48,136,72,365325
The Hangover,R,Comedy,05-06-09,12-15-09,100,Certified Fresh,78,238,84,942870
The Stepfather,PG-13,"Horror, Mystery , Suspense",10-16-09,09-02-10,103,Rotten,11,62,34,982207
Okuribito (Departures),PG-13,"Art House , International, Drama",05-29-09,12-01-10,131,Certified Fresh,80,108,92,51928
Boogie (Summer Holiday),NR,"Comedy, Drama",05-16-08,02-13-12,103,Fresh,100,10,67,354
Prima Ballerina,NR,"Art House , International, Special Interest",01-16-09,08-12-09,,Fresh,81,26,100,24
Season of the Witch,PG-13,"Action , Adventure, Drama, Mystery , Suspense, Science Fiction , Fantasy",07-01-11,06-28-11,92,Rotten,11,121,30,79825
Shuttle,R,"Mystery , Suspense",08-03-09,07-04-09,106,Rotten,50,22,36,1552
Miss March,R,Comedy,03-13-09,07-28-09,90,Rotten,5,80,30,79376
An American Affair,R,"Drama, Mystery , Suspense",02-27-09,07-28-09,96,Rotten,16,37,41,1722
Grace,R,"Drama, Horror",08-14-09,09-15-09,84,Fresh,70,30,31,10263
Endgame,PG-13,"Drama, Mystery , Suspense",06-11-09,09-02-10,109,Fresh,71,7,58,660
The Red Baron (Der rote Baron),PG-13,"Action , Adventure, Drama, Romance",03-31-08,01-06-10,106,Rotten,20,25,43,11068
The Objective,NR,"Action , Adventure, Horror, Mystery , Suspense, Science Fiction , Fantasy",04-24-08,10-13-09,91,Rotten,33,12,32,3689
Happy Tears,R,"Comedy, Drama",02-19-10,06-15-10,96,Rotten,27,33,21,1550
The Missing Person,NR,"Comedy, Drama, Mystery , Suspense",11-20-09,04-13-10,95,Fresh,61,23,44,6767
Polanski (Polanski Unauthorized),NR,"Art House , International, Drama",09-01-09,08-13-09,95,Rotten,0,6,38,231
Mammoth (Mammut),R,"Art House , International, Drama",11-20-09,04-20-10,125,Rotten,45,42,63,7002
Crude,NR,"Documentary, Special Interest",09-09-09,02-23-10,100,Certified Fresh,95,66,85,1479
The Messenger,R,"Drama, Romance",11-13-09,05-18-10,113,Certified Fresh,89,159,75,21578
Lake Mungo,R,"Horror, Mystery , Suspense",07-02-09,03-23-10,87,Fresh,94,17,62,2800
Venkovský Ucitel (The Country Teacher),NR,"Art House , International, Drama",03-20-08,08-09-09,117,Fresh,81,26,72,1722
The Apartment,NR,"Classics, Comedy, Drama, Romance",06-15-60,06-19-01,125,Certified Fresh,94,65,94,38071
Chatham (The Golden Boys),PG,"Comedy, Romance",04-17-09,08-18-09,96,Rotten,28,18,22,801
The Ape,NR,"Classics, Drama, Horror, Science Fiction , Fantasy",09-30-40,06-29-04,62,Rotten,40,5,12,509
Fame,PG,"Drama, Musical , Performing Arts, Romance",09-25-09,12-01-10,107,Rotten,24,121,36,194964
Outrage,R,Documentary,08-05-09,01-19-10,90,Certified Fresh,78,60,76,6681
Skin,PG-13,"Art House , International, Drama, Mystery , Suspense",10-30-09,01-02-11,107,Certified Fresh,84,64,79,2117
Helen,PG,Drama,01-05-08,09-28-10,79,Fresh,65,20,35,171
Bakjwi (Thirst),R,"Art House , International, Drama, Horror",04-30-09,11-17-09,133,Certified Fresh,81,114,75,19443
Vengeance (Fuk sau),R,"Action , Adventure, Art House , International, Mystery , Suspense",04-08-10,11-16-10,108,Fresh,91,22,60,1880
New World Order,NR,"Documentary, Special Interest",05-22-09,10-13-09,83,Rotten,56,9,49,254
April Fool's Day,R,Horror,03-27-86,03-09-02,90,Rotten,38,16,47,13421
Blood: The Last Vampire,R,"Action , Adventure, Art House , International, Horror, Science Fiction , Fantasy",10-07-09,10-20-09,89,Rotten,25,52,33,94561
Shrink,R,"Comedy, Drama",07-24-09,09-29-09,104,Rotten,27,64,50,42782
Ong Bak 2,R,"Action , Adventure, Art House , International",10-23-09,02-02-10,115,Rotten,48,69,53,21191
Bananas!,NR,"Art House , International, Documentary, Special Interest",06-20-09,11-05-15,87,Fresh,83,6,44,217
Last Ride,PG-13,Drama,06-29-12,10-16-12,100,Fresh,93,28,65,3558
Tron Legacy,PG,"Action , Adventure, Science Fiction , Fantasy",12-17-10,05-04-11,125,Rotten,51,239,63,171385
The Canyon,R,"Drama, Mystery , Suspense",10-23-09,11-17-09,97,Rotten,27,15,32,607
"Manson, My Name Is Evil",R,"Comedy, Drama, Science Fiction , Fantasy",09-14-09,12-10-10,85,Fresh,67,9,27,2341
Broken Hill,PG,"Drama, Kids , Family",11-09-09,05-17-11,102,Rotten,50,6,61,309
A Beautiful Life,NR,Drama,02-10-09,01-03-11,81,Rotten,0,12,24,147
Suck,R,"Comedy, Horror, Musical , Performing Arts",02-08-10,09-28-10,96,Rotten,50,10,53,1880
Chloe,R,"Drama, Mystery , Suspense",03-26-10,07-13-10,99,Rotten,51,161,39,30554
Armed and Dangerous,PG-13,Comedy,08-15-86,12-11-02,88,Rotten,11,9,39,9327
The Hole,PG-13,"Kids , Family, Mystery , Suspense, Science Fiction , Fantasy",09-28-12,02-10-12,98,Fresh,81,36,46,14720
NoBody's Perfect,NR,"Art House , International, Documentary, Drama, Special Interest, Sports , Fitness",08-09-08,03-04-12,84,Fresh,73,11,87,85
The Good Soldier,NR,"Documentary, Drama, Special Interest, Television",09-10-09,04-24-07,104,Fresh,73,15,80,130
High Life,R,Comedy,09-15-09,03-16-10,79,Fresh,80,5,43,631
Around the World in 80 Days,G,"Action , Adventure, Comedy, Drama, Kids , Family",10-17-56,05-18-04,141,Fresh,71,38,57,33419
The Good Heart,R,Drama,04-30-10,10-08-10,95,Rotten,30,37,58,1588
Wonderful World,R,"Drama, Romance",08-01-10,03-16-10,89,Rotten,42,31,33,1741
